Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
0,0.100000,0.010000,0.180000,0.810000
1,0.100050,0.010010,0.180080,0.809910
2,0.102700,0.010547,0.184305,0.805147
3,0.101250,0.010252,0.181997,0.807752
4,0.099900,0.009980,0.179840,0.810180
5,0.102050,0.010414,0.183272,0.806314
6,0.101950,0.010394,0.183112,0.806494
7,0.099100,0.009821,0.178558,0.811621
8,0.103550,0.010723,0.185655,0.803623
9,0.102950,0.010599,0.184703,0.804699
10,0.102750,0.010558,0.184385,0.805058
11,0.104600,0.010941,0.187318,0.801741
12,0.106300,0.011300,0.190001,0.798700
13,0.108100,0.011686,0.192829,0.795486
14,0.106500,0.011342,0.190315,0.798342
15,0.110500,0.012210,0.196579,0.791210
16,0.109350,0.011957,0.194785,0.793257
17,0.109150,0.011914,0.194473,0.793614
18,0.108100,0.011686,0.192829,0.795486
19,0.109050,0.011892,0.194316,0.793792
20,0.106700,0.011385,0.190630,0.797985
21,0.109650,0.012023,0.195254,0.792723
22,0.114250,0.013053,0.202394,0.784553
23,0.114000,0.012996,0.202008,0.784996
24,0.113300,0.012837,0.200926,0.786237
25,0.114600,0.013133,0.202934,0.783933
26,0.114250,0.013053,0.202394,0.784553
27,0.115350,0.013306,0.204089,0.782606
28,0.117850,0.013889,0.207923,0.778189
29,0.121900,0.014860,0.214081,0.771060
30,0.119750,0.014340,0.210820,0.774840
31,0.120900,0.014617,0.212566,0.772817
32,0.115450,0.013329,0.204243,0.782429
33,0.113950,0.012985,0.201931,0.785085
34,0.113650,0.012916,0.201467,0.785616
35,0.117750,0.013865,0.207770,0.778365
36,0.116500,0.013572,0.205855,0.780572
37,0.113150,0.012803,0.200694,0.786503
38,0.114200,0.013042,0.202317,0.784642
39,0.113450,0.012871,0.201158,0.785971
40,0.112750,0.012713,0.200075,0.787213
41,0.116450,0.013561,0.205779,0.780661
42,0.119400,0.014256,0.210287,0.775456
43,0.124500,0.015500,0.217999,0.766500
44,0.124600,0.015525,0.218150,0.766325
45,0.128750,0.016577,0.224347,0.759077
46,0.128500,0.016512,0.223975,0.759512
47,0.127000,0.016129,0.221742,0.762129
48,0.129000,0.016641,0.224718,0.758641
49,0.128500,0.016512,0.223975,0.759512
50,0.128000,0.016384,0.223232,0.760384
51,0.123050,0.015141,0.215817,0.769041
52,0.121850,0.014847,0.214005,0.771147
53,0.121450,0.014750,0.213400,0.771850
54,0.119900,0.014376,0.211048,0.774576
55,0.120350,0.014484,0.211732,0.773784
56,0.121000,0.014641,0.212718,0.772641
57,0.120950,0.014629,0.212642,0.772729
58,0.123750,0.015314,0.216872,0.767814
59,0.118850,0.014125,0.209449,0.776425
60,0.118550,0.014054,0.208992,0.776954
61,0.119050,0.014173,0.209754,0.776073
62,0.116750,0.013631,0.206239,0.780131
63,0.117300,0.013759,0.207081,0.779159
64,0.116700,0.013619,0.206162,0.780219
65,0.116300,0.013526,0.205549,0.780926
66,0.113850,0.012962,0.201776,0.785262
67,0.110300,0.012166,0.196268,0.791566
68,0.113600,0.012905,0.201390,0.785705
69,0.113500,0.012882,0.201235,0.785882
70,0.115500,0.013340,0.204319,0.782340
71,0.110750,0.012266,0.196969,0.790766
72,0.111900,0.012522,0.198757,0.788722
73,0.116200,0.013502,0.205395,0.781102
74,0.114700,0.013156,0.203088,0.783756
75,0.113450,0.012871,0.201158,0.785971
76,0.116200,0.013502,0.205395,0.781102
77,0.118100,0.013948,0.208305,0.777748
78,0.118550,0.014054,0.208992,0.776954
79,0.117100,0.013712,0.206775,0.779512
80,0.117300,0.013759,0.207081,0.779159
81,0.116350,0.013537,0.205625,0.780837
82,0.116200,0.013502,0.205395,0.781102
83,0.115550,0.013352,0.204396,0.782252
84,0.111350,0.012399,0.197902,0.789699
85,0.109650,0.012023,0.195254,0.792723
86,0.110400,0.012188,0.196424,0.791388
87,0.109700,0.012034,0.195332,0.792634
88,0.110600,0.012232,0.196735,0.791032
89,0.109950,0.012089,0.195722,0.792189
90,0.107600,0.011578,0.192044,0.796378
91,0.109300,0.011946,0.194707,0.793346
92,0.105650,0.011162,0.188976,0.799862
93,0.102250,0.010455,0.183590,0.805955
94,0.103850,0.010785,0.186130,0.803085
95,0.102000,0.010404,0.183192,0.806404
96,0.103950,0.010806,0.186289,0.802906
97,0.106100,0.011257,0.189686,0.799057
98,0.106150,0.011268,0.189764,0.798968
99,0.108400,0.011751,0.193299,0.794951
100,0.107400,0.011535,0.191730,0.796735
101,0.108350,0.011740,0.193221,0.795040
102,0.107950,0.011653,0.192594,0.795753
103,0.113050,0.012780,0.200539,0.786680
104,0.114400,0.013087,0.202625,0.784287
105,0.110850,0.012288,0.197125,0.790588
106,0.115050,0.013237,0.203627,0.783137
107,0.113950,0.012985,0.201931,0.785085
108,0.112300,0.012611,0.199377,0.788011
109,0.111900,0.012522,0.198757,0.788722
110,0.113000,0.012769,0.200462,0.786769
111,0.109100,0.011903,0.194394,0.793703
112,0.104700,0.010962,0.187476,0.801562
113,0.105200,0.011067,0.188266,0.800667
114,0.103000,0.010609,0.184782,0.804609
115,0.102550,0.010517,0.184067,0.805417
116,0.101050,0.010211,0.181678,0.808111
117,0.100350,0.010070,0.180560,0.809370
118,0.097200,0.009448,0.175504,0.815048
119,0.099150,0.009831,0.178639,0.811531
120,0.099900,0.009980,0.179840,0.810180
121,0.100950,0.010191,0.181518,0.808291
122,0.098900,0.009781,0.178238,0.811981
123,0.100150,0.010030,0.180240,0.809730
124,0.097500,0.009506,0.175987,0.814506
125,0.097550,0.009516,0.176068,0.814416
126,0.096100,0.009235,0.173730,0.817035
127,0.096350,0.009283,0.174133,0.816583
128,0.100450,0.010090,0.180720,0.809190
129,0.101050,0.010211,0.181678,0.808111
130,0.103450,0.010702,0.185496,0.803802
131,0.103400,0.010692,0.185417,0.803892
132,0.101650,0.010333,0.182635,0.807033
133,0.099050,0.009811,0.178478,0.811711
134,0.098400,0.009683,0.177435,0.812883
135,0.099000,0.009801,0.178398,0.811801
136,0.099750,0.009950,0.179600,0.810450
137,0.098200,0.009643,0.177114,0.813243
138,0.098450,0.009692,0.177515,0.812792
139,0.102300,0.010465,0.183669,0.805865
140,0.106200,0.011278,0.189843,0.798878
141,0.106900,0.011428,0.190945,0.797628
142,0.105550,0.011141,0.188818,0.800041
143,0.103200,0.010650,0.185100,0.804250
144,0.102950,0.010599,0.184703,0.804699
145,0.100400,0.010080,0.180640,0.809280
146,0.099900,0.009980,0.179840,0.810180
147,0.097750,0.009555,0.176390,0.814055
148,0.098050,0.009614,0.176872,0.813514
149,0.094600,0.008949,0.171302,0.819749
150,0.089750,0.008055,0.163390,0.828555
151,0.089100,0.007939,0.162322,0.829739
152,0.086700,0.007517,0.158366,0.834117
153,0.088900,0.007903,0.161994,0.830103
154,0.087350,0.007630,0.159440,0.832930
155,0.087950,0.007735,0.160430,0.831835
156,0.086500,0.007482,0.158035,0.834482
157,0.086100,0.007413,0.157374,0.835213
158,0.084200,0.007090,0.154221,0.838690
159,0.082450,0.006798,0.151304,0.841898
160,0.081550,0.006650,0.149799,0.843550
161,0.081500,0.006642,0.149716,0.843642
162,0.081800,0.006691,0.150218,0.843091
163,0.080750,0.006521,0.148459,0.845021
164,0.082900,0.006872,0.152055,0.841072
165,0.081950,0.006716,0.150468,0.842816
166,0.082100,0.006740,0.150719,0.842540
167,0.084950,0.007217,0.155467,0.837317
168,0.083400,0.006956,0.152889,0.840156
169,0.080350,0.006456,0.147788,0.845756
170,0.081250,0.006602,0.149297,0.844102
171,0.083550,0.006981,0.153139,0.839881
172,0.087550,0.007665,0.159770,0.832565
173,0.087300,0.007621,0.159357,0.833021
174,0.090350,0.008163,0.164374,0.827463
175,0.088250,0.007788,0.160924,0.831288
176,0.091500,0.008372,0.166256,0.825372
177,0.088900,0.007903,0.161994,0.830103
178,0.092200,0.008501,0.167398,0.824101
179,0.089900,0.008082,0.163636,0.828282
180,0.094350,0.008902,0.170896,0.820202
181,0.091300,0.008336,0.165929,0.825736
182,0.090750,0.008236,0.165029,0.826736
183,0.089000,0.007921,0.162158,0.829921
184,0.091150,0.008308,0.165683,0.826008
185,0.090650,0.008217,0.164865,0.826917
186,0.090300,0.008154,0.164292,0.827554
187,0.089800,0.008064,0.163472,0.828464
188,0.088700,0.007868,0.161665,0.830468
189,0.087250,0.007613,0.159275,0.833113
190,0.089500,0.008010,0.162979,0.829010
191,0.090700,0.008226,0.164947,0.826826
192,0.087200,0.007604,0.159192,0.833204
193,0.086900,0.007552,0.158697,0.833752
194,0.088300,0.007797,0.161006,0.831197
195,0.089900,0.008082,0.163636,0.828282
196,0.092050,0.008473,0.167154,0.824373
197,0.092250,0.008510,0.167480,0.824010
198,0.090850,0.008254,0.165193,0.826554
199,0.095350,0.009092,0.172517,0.818392
200,0.098350,0.009673,0.177355,0.812973
201,0.100950,0.010191,0.181518,0.808291
202,0.097150,0.009438,0.175424,0.815138
203,0.097750,0.009555,0.176390,0.814055
204,0.097800,0.009565,0.176470,0.813965
205,0.095800,0.009178,0.173245,0.817578
206,0.096950,0.009399,0.175101,0.815499
207,0.095800,0.009178,0.173245,0.817578
208,0.100100,0.010020,0.180160,0.809820
209,0.100700,0.010140,0.181119,0.808740
210,0.100050,0.010010,0.180080,0.809910
211,0.101100,0.010221,0.181758,0.808021
212,0.100500,0.010100,0.180800,0.809100
213,0.099350,0.009870,0.178959,0.811170
214,0.100700,0.010140,0.181119,0.808740
