Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
0,0.500000,0.250000,0.500000,0.250000
1,0.499250,0.249251,0.499999,0.250751
2,0.498150,0.248153,0.499993,0.251853
3,0.495550,0.245570,0.499960,0.254470
4,0.492850,0.242901,0.499898,0.257201
5,0.494500,0.244530,0.499940,0.255530
6,0.499100,0.249101,0.499998,0.250901
7,0.500450,0.250450,0.500000,0.249550
8,0.504000,0.254016,0.499968,0.246016
9,0.503050,0.253059,0.499981,0.246959
10,0.507600,0.257658,0.499884,0.242458
11,0.510250,0.260355,0.499790,0.239855
12,0.510850,0.260968,0.499765,0.239268
13,0.508500,0.258572,0.499856,0.241572
14,0.513400,0.263580,0.499641,0.236780
15,0.512600,0.262759,0.499682,0.237559
16,0.501750,0.251753,0.499994,0.248253
17,0.495050,0.245075,0.499951,0.254975
18,0.497000,0.247009,0.499982,0.253009
19,0.495150,0.245174,0.499953,0.254874
20,0.490500,0.240590,0.499820,0.259590
21,0.490850,0.240934,0.499833,0.259234
22,0.495250,0.245273,0.499955,0.254773
23,0.489250,0.239366,0.499769,0.260866
24,0.487150,0.237315,0.499670,0.263015
25,0.491300,0.241376,0.499849,0.258776
26,0.491300,0.241376,0.499849,0.258776
27,0.484350,0.234595,0.499510,0.265895
28,0.485450,0.235662,0.499577,0.264762
29,0.483400,0.233676,0.499449,0.266876
30,0.483050,0.233337,0.499425,0.267237
31,0.479550,0.229968,0.499164,0.270868
32,0.479200,0.229633,0.499135,0.271233
33,0.487300,0.237461,0.499677,0.262861
34,0.491900,0.241966,0.499869,0.258166
35,0.497250,0.247258,0.499985,0.252758
36,0.498050,0.248054,0.499992,0.251954
37,0.500550,0.250550,0.499999,0.249450
38,0.497400,0.247407,0.499986,0.252607
39,0.496100,0.246115,0.499970,0.253915
40,0.497750,0.247755,0.499990,0.252255
41,0.506150,0.256188,0.499924,0.243888
42,0.507450,0.257506,0.499889,0.242606
43,0.511750,0.261888,0.499724,0.238388
44,0.513750,0.263939,0.499622,0.236439
45,0.514200,0.264402,0.499597,0.236002
46,0.513750,0.263939,0.499622,0.236439
47,0.515200,0.265431,0.499538,0.235031
48,0.511200,0.261325,0.499749,0.238925
49,0.505550,0.255581,0.499938,0.244481
50,0.504400,0.254419,0.499961,0.245619
51,0.503200,0.253210,0.499980,0.246810
52,0.505500,0.255530,0.499939,0.244530
